Tamaño de paso,X inicial Gradiente,Y inicial Gradiente,X final Gradiente,Y final Gradiente,Valor final Gradiente,Iteraciones Gradiente
0.001,-30,20,-2.864122383960878,2.7895022503716413,-64.14199595956651,100
0.001,-30,30,-2.864122383960878,2.697256604253577,-64.13384747620711,100
0.001,-30,40,-2.1398356965926006,-3856200.426050375,1.1056263930326894e+26,4
0.001,-30,50,-2.1398356965926006,-7602997937.783982,1.6707424032596097e+39,4
0.001,-30,60,-2.1398356965926006,-2109193506256.9722,9.895453597005684e+48,4
0.001,-30,70,-2.1398356965926006,-200215364060510.25,8.034513947662454e+56,4
0.001,-30,80,-2.122499441968749,1674685.641513624,3.932812045657241e+24,3
0.001,-30,90,-2.122499441968749,5102703.557121582,3.389778796513728e+26,3
0.001,-30,100,-2.122499441968749,13681498.455277592,1.7518812614364865e+28,3
0.001,-20,-100,-4.23263676596875,-13681390.347680788,1.7518258904757967e+28,3
0.001,-20,-90,-4.23263676596875,-5102647.5426145755,3.3896299548971134e+26,3
0.001,-20,-80,-4.23263676596875,-1674658.989963672,3.93256169888885e+24,3
0.001,-20,-70,-4.15120176739344,200200705158382.1,8.03216119676164e+56,4
0.001,-20,-60,-4.15120176739344,2108937396507.3953,9.89064823310568e+48,4
0.001,-20,-50,-4.15120176739344,7601273044.929015,1.6692267531979668e+39,4
0.001,-20,-40,-4.15120176739344,3854166.1860699463,1.1032952586523657e+26,4
0.001,-20,-30,-2.928032126805943,-2.864122383960878,-78.29536395740882,100
0.001,-20,-20,-2.928032126805943,-2.928032126805943,-78.31140502813834,100
0.001,-20,-10,-2.928032126805943,-2.9416896113151987,-78.29637073439343,100
0.001,-20,0,-2.928032126805943,-0.5996323440811666,-43.4666136402503,100
0.001,-20,10,-2.928032126805943,2.8086540775187716,-64.12785540113923,100
0.001,-20,20,-2.928032126805943,2.7895022503716413,-64.15803703029601,100
0.001,-20,30,-2.928032126805943,2.697256604253577,-64.14988854693661,100
0.001,-20,40,-4.15120176739344,-3856200.426050375,1.1056263930326894e+26,4
0.001,-20,50,-4.15120176739344,-7602997937.783982,1.6707424032596097e+39,4
